id,name,summary,dependencies
org.eclipse.scava.factoid.bugs.channelusage.BugsChannelUsageFactoid,Bug Tracker Usage,summaryblah,"['org.eclipse.scava.metricprovider.historic.bugs.newbugs.NewBugsHistoricMetricProvider', 'org.eclipse.scava.metricprovider.historic.bugs.comments.CommentsHistoricMetricProvider', 'org.eclipse.scava.metricprovider.historic.bugs.patches.PatchesHistoricMetricProvider']"
org.eclipse.scava.factoid.bugs.emotion.BugsChannelEmotionFactoid,Bug Tracker Emotion,summaryblah,['org.eclipse.scava.metricprovider.trans.bugs.emotions.EmotionsTransMetricProvider']
org.eclipse.scava.factoid.bugs.hourly.BugsChannelHourlyFactoid,Bug Tracker Hourly,summaryblah,['org.eclipse.scava.metricprovider.trans.bugs.hourlyrequestsreplies.HourlyRequestsRepliesTransMetricProvider']
org.eclipse.scava.factoid.bugs.responsetime.BugsChannelResponseTimeFactoid,Bug Tracker Response Time,summaryblah,['org.eclipse.scava.metricprovider.historic.bugs.responsetime.ResponseTimeHistoricMetricProvider']
org.eclipse.scava.factoid.bugs.sentiment.BugsChannelSentimentFactoid,Bug Tracker Sentiment,summaryblah,['org.eclipse.scava.metricprovider.historic.bugs.sentiment.SentimentHistoricMetricProvider']
org.eclipse.scava.factoid.bugs.severity.BugsChannelSeverityFactoid,Bug Tracker Severity,summaryblah,"['org.eclipse.scava.metricprovider.historic.bugs.severity.SeverityHistoricMetricProvider', 'org.eclipse.scava.metricprovider.historic.bugs.severitybugstatus.SeverityBugStatusHistoricMetricProvider', 'org.eclipse.scava.metricprovider.historic.bugs.severityresponsetime.SeverityResponseTimeHistoricMetricProvider', 'org.eclipse.scava.metricprovider.historic.bugs.severitysentiment.SeveritySentimentHistoricMetricProvider']"
org.eclipse.scava.factoid.bugs.size.BugsChannelSizeFactoid,Bug Tracker Size,summaryblah,"['org.eclipse.scava.metricprovider.historic.bugs.newbugs.NewBugsHistoricMetricProvider', 'org.eclipse.scava.metricprovider.historic.bugs.comments.CommentsHistoricMetricProvider', 'org.eclipse.scava.metricprovider.historic.bugs.patches.PatchesHistoricMetricProvider']"
org.eclipse.scava.factoid.bugs.status.BugsChannelStatusFactoid,Bug Tracker Status,summaryblah,['org.eclipse.scava.metricprovider.historic.bugs.status.StatusHistoricMetricProvider']
org.eclipse.scava.factoid.bugs.threadlength.BugsChannelThreadLengthFactoid,Bug Tracker Thread Length,summaryblah,['org.eclipse.scava.metricprovider.historic.bugs.bugs.BugsHistoricMetricProvider']
org.eclipse.scava.factoid.bugs.users.BugsChannelUsersFactoid,Bug Tracker Users,summaryblah,"['org.eclipse.scava.metricprovider.historic.bugs.users.UsersHistoricMetricProvider', 'org.eclipse.scava.metricprovider.historic.bugs.bugs.BugsHistoricMetricProvider']"
